"p.value","fdr","p.holm","t.statistic","coefficient","coefficient.ci.high","coefficient.ci.low","coefficient.se","n","chromosome","position"
0.534869454114582,0.76854303562858,1,0.621772646279601,0.00216492321634431,0.00903491901756904,-0.00470507258488042,0.00348185663891488,188,"chrY",4870822
0.427319867894205,0.692088099330301,1,0.795577290429962,0.00276487822111293,0.00962221178755174,-0.00409245534532587,0.00347531063841539,187,"chrY",3447157
0.200376314865118,0.468700736007282,1,-1.28514023472155,-0.00615115707693126,0.00329275386306982,-0.0155950680169323,0.00478637032032852,188,"chrY",14100573
0.903983068877854,0.962787549462018,1,-0.12079954426979,-0.000397696804854661,0.0060980994122123,-0.00689349302192162,0.00329220451334202,188,"chrY",4867968
0.0845526809893434,0.298920268497639,1,-1.73433014160686,-0.00959421496773681,0.00132077294495948,-0.0205092028804331,0.00553194270085611,188,"chrX",104566227
0.119389507162449,0.358765800845026,1,1.56470359118391,0.00617111388498726,0.0139528601853128,-0.0016106324153383,0.00394395073914159,188,"chrX",151960304
0.463489242970466,0.717418558484598,1,0.73466469927931,0.00365316314737794,0.0134644388870901,-0.00615811259233427,0.00497255843510871,188,"chrX",118823726
0.429907629535241,0.694219827019799,1,-0.791113278990473,-0.00136552370891078,0.00204017446670906,-0.00477122188453063,0.00172607860994737,188,"chrX",48508842
0.0135159695841094,0.10805481690082,1,-2.49418978689349,-0.00943659531877844,-0.00197156767145973,-0.0169016229660971,0.00378343114399955,188,"chrX",101390753
0.165765138738899,0.424503240181189,1,1.3915236529318,0.00675446303633734,0.0163318232632133,-0.00282289719053859,0.00485400519215491,188,"chrX",138529221
0.157560753594403,0.414229125852396,1,1.41916678130599,0.00315383385641234,0.00753864567892508,-0.00123097796610039,0.0022223137533631,188,"chrX",91035267
0.183958586715945,0.449062110598942,1,1.33373140673952,0.00826602113455772,0.0204945360973947,-0.0039624938282792,0.00619766550655435,188,"chrX",130058737
0.222239156559349,0.494239196198805,1,1.22480804987336,0.0146953021600402,0.0383693289200891,-0.00897872460000874,0.0119980450500465,187,"chrX",75273517
0.0836106218009012,0.29705641679748,1,1.73965240083746,0.0137552427150963,0.0293562041498188,-0.00184571871962617,0.00790689146203841,188,"chrX",38219106
0.0688390092752324,0.266442240870752,1,1.83037187419421,0.00703610662734615,0.0146210915955302,-0.00054887834083794,0.0038440858530148,187,"chrX",104013859
0.0673906864878129,0.263341424831869,1,-1.84004225324153,-0.0111297068802942,0.000804718590802113,-0.0230641323513906,0.00604861484060351,188,"chrX",151972512
0.456013437885128,0.712135214445734,1,0.747023360842315,0.00330303374532309,0.0120272096460903,-0.00542114215544409,0.00442159364547678,188,"chrX",119888140
0.103496033777145,0.332541847034839,1,1.63634235797555,0.0169680795181021,0.0374280076656359,-0.00349184862943173,0.0103695167673192,188,"chrX",136765693
0.121658155886328,0.36216078784223,1,-1.55510540563158,-0.0105960305763925,0.0028479834793615,-0.0240400446321465,0.00681370570639171,188,"chrX",110318690
0.398121401609027,0.66690026095345,1,0.846975002650938,0.00625268336102187,0.0208187210544359,-0.00831335433239218,0.00738237060297136,188,"chrX",101655676
0.703534993651277,0.868335406354373,1,-0.381152043892059,-0.000958448118775872,0.00400308554457004,-0.00591998178212178,0.00251460836727745,188,"chrX",130109087
0.568750380476539,0.790837843027492,1,-0.570931463339586,-0.00196484743066746,0.00482547571060953,-0.00875517057194445,0.00344147687915876,188,"chrX",68828817
0.742486938118408,0.890035679403183,1,0.329062317489751,0.00104415411966055,0.00730498597588313,-0.00521667773656204,0.00317311969242138,188,"chrX",74614251
0.845856479943849,0.938017258059874,1,-0.194685287208737,-0.0012557560381628,0.0114710002876485,-0.0139825123639741,0.00645018458337022,188,"chrX",107775201
0.0166089075481203,0.120682465329487,1,2.41761623314802,0.021510486251728,0.0390657941476371,0.00395517835581889,0.00889739486226017,188,"chrX",38256402
0.913575691467581,0.96670142539644,1,-0.108680429685802,-0.000219477243251967,0.00376511362940066,-0.0042040681159046,0.00201947345889671,188,"chrX",7219291
0.578845166122442,0.796735851904319,1,-0.556071205814094,-0.00398247724809984,0.010148379121595,-0.0181133336177947,0.00716181166451418,188,"chrX",101853885
0.928165289848598,0.973061582957963,1,0.0902783630518891,0.000264830540513518,0.00605284992825048,-0.00552318884722345,0.00293348850777569,188,"chrX",103689038
0.487810430474346,0.734852835429871,1,-0.69520989158961,-0.00335362502489667,0.00616434088562025,-0.0128715909354136,0.00482390291833816,188,"chrX",3712578
0.535622245904219,0.769012302078675,1,0.620625821111872,0.00338547109897586,0.0141485086691521,-0.0073775664712004,0.00545493110955435,188,"chrX",150861833
0.0614219992489503,0.250439747395623,1,-1.88207447881813,-0.00913759179000381,0.000441857283871167,-0.0187170408638788,0.00485506386322281,188,"chrX",10084289
0.822873055967704,0.927491719722911,1,0.224174404765155,0.00134577118165127,0.0131906544423006,-0.0104991120789981,0.00600323298755312,188,"chrX",48690473
0.864110032658103,0.945541215506114,1,0.171386804266338,0.000898500978878873,0.0112424592468094,-0.00944545728905167,0.00524253301019948,188,"chrX",12906065
0.703639428982844,0.868335406354373,1,0.38101105030087,0.00352333660833934,0.0217691047083247,-0.014722431491646,0.00924733444228743,188,"chrX",134235548
0.511095490053563,0.751419906625585,1,0.658427541982259,0.00432230229232546,0.017274776439765,-0.0086301718551141,0.00656458306606184,188,"chrX",46545429
0.0299667010712935,0.168088022976848,1,2.18768813278917,0.021472200513347,0.0408380578914168,0.00210634313527721,0.0098150189652358,188,"chrX",120312009
0.270739351035063,0.546912855488648,1,1.10471978211607,0.00553334811633803,0.0154161809326886,-0.00434948470001254,0.00500882504859197,188,"chrX",149885287
0.652470419544205,0.840835159616038,1,0.45107784898403,0.00126036947984352,0.00677341988638988,-0.00425268092670283,0.002794128513919,188,"chrX",150983264
0.698515447378051,0.866242402829669,1,-0.387937758480797,-0.00144113008976618,0.00588857869213264,-0.00877083887166499,0.00371484873091443,188,"chrX",129844346
0.00917019897204095,0.0868632464330347,1,-2.633804997272,-0.0099862147026178,-0.00250515935589998,-0.0174672700493356,0.00379155431513007,188,"chrX",70289940
0.78431355285095,0.91015006031848,1,-0.274106604623153,-0.00204486319958629,0.0126745448592117,-0.0167642712583843,0.00746010189137037,188,"chrX",152942289
0.752200777160248,0.894865660954387,1,0.316218838062967,0.00261228688227224,0.0189125560858172,-0.0136879823212727,0.00826100968011296,187,"chrX",74219886
0.0588145480017533,0.244685589872729,1,1.90158041989007,0.0162332214297846,0.0330774707760706,-0.000611027916501413,0.00853669992601367,187,"chrX",55088980
0.365770520766725,0.638533378551203,1,0.906688263779005,0.00176234505120338,0.00559746132142667,-0.00207277121901991,0.00194371662412179,188,"chrX",101417749
0.354771405739243,0.628258670784053,1,0.927739512394679,0.00801734954312153,0.025068369038833,-0.00903366995258995,0.00864181102131477,188,"chrX",41478357
0.146343601080453,0.398903212009382,1,-1.45880076870531,-0.00189994847397282,0.000669804786138735,-0.00446970173408438,0.00130240435481744,188,"chrX",7927566
0.334679213832498,0.610593520868258,1,0.96729698016125,0.00412781194999049,0.0125476872210211,-0.00429206332104008,0.0042673677625897,188,"chrX",49074192
0.17253191513211,0.433942346081577,1,1.36949534197673,0.00353305583717108,0.00862326382039283,-0.00155715214605068,0.00257982318659913,188,"chrX",66266919
0.804627723837974,0.919250044434248,1,-0.247723343500276,-0.000315646440118772,0.00219843619687825,-0.00282972907711579,0.00127418932611985,188,"chrX",15666287
0.251600901362868,0.525969514233522,1,-1.15012614147411,-0.00417005472827949,0.00298382881405775,-0.0113239382706167,0.00362573684564265,188,"chrX",73329067
0.72075198831915,0.877921087275816,1,0.358008277414643,0.000974180506365722,0.00634316256884194,-0.00439480155611049,0.00272111168322914,188,"chrX",27807726
0.0151436156202643,0.114842625711832,1,2.45228474913831,0.0113306708835019,0.0204475537207728,0.002213788046231,0.00462045481768922,187,"chrX",132213198
0.443991998470187,0.703847564245688,1,-0.767140499046963,-0.00584244213782781,0.0091843090425252,-0.0208691933181808,0.00761586977233767,188,"chrX",53434474
0.344429160761498,0.618511284655085,1,-0.947915950763195,-0.00366571787421712,0.0039644622765933,-0.0112958980250275,0.0038671338648387,188,"chrX",40171203
0.0467154901036888,0.215770345692306,1,2.00249994664705,0.00996767274152069,0.0197889244934989,0.000146420989542494,0.00497761448543876,188,"chrX",49122717
0.0153762999862167,0.115910347425978,1,-2.44647780118306,-0.0106132806715092,-0.00205367109364501,-0.0191728902493733,0.00433818801314152,188,"chrX",154399434
0.512035699152502,0.752203670146877,1,0.656961269673971,0.00508061323450481,0.0203394685182904,-0.0101782420492807,0.00773350495536237,188,"chrX",21656697
0.341745248351362,0.616468628753013,1,-0.95321531349203,-0.00922136506496008,0.00986616749798078,-0.0283088976279009,0.00967395816500086,188,"chrX",10157095
0.0990671348734038,0.325792866766259,1,-1.65786588485647,-0.0105657742245864,0.0020089224361827,-0.0231404708853555,0.00637311758514238,188,"chrX",16946433
0.336529436738293,0.612286501516922,1,0.963591261870705,0.00733994835582057,0.0223694900372678,-0.00768959332562662,0.0076172840562822,188,"chrX",48831207
0.680741436054067,0.856689439258545,1,0.412113199195585,0.0013648458039045,0.00789935014073993,-0.00516965853293093,0.00331182259284241,188,"chrX",9464490
